Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Taphozous,,mauritianus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 127","Mauritian Tomb Bat"
Hipposideridae,Hipposideros,,caffer,Sundevall,1846,1,"&Ouml;fv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Sundevall's Roundleaf Bat"
Hipposideridae,Hipposideros,,ruber,Noack,1893,1,"Zool. Jahrb. Abt. Syst. Oekol. Geogr. Tiere","7: 586","Noack's Roundleaf Bat"
Hipposideridae,Macronycteris,,vittata,Peters,1852,1,"Naturwiss. Reise Mossambique, S&auml;ugeth.","p. 32","Striped Roundleaf Bat"
Megadermatidae,Lavia,,frons,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 192","Yellow-winged Bat"
Miniopteridae,Miniopterus,,fraterculus,"Thomas & Schwann",1906,0,"Proc. Zool. Soc. Lond.","1906: 162","Lesser Long-fingered Bat"
Miniopteridae,Miniopterus,,mossambicus,"Monadjem, Goodman, Stanley & Appleton",2013,0,Zootaxa,"3746(1): 129","Mozambique Long-fingered Bat"
Miniopteridae,Miniopterus,,natalensis,"A. Smith",1834,1,"S. Afr. Quart. J.",2:59,"Natal Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",ansorgei,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 318","Ansorge's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",bivittatus,"von Heuglin",1861,1,"Nova Acta Acad. Caes. Leop.-Carol., Halle","29(8): 4, 13","Spotted Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",chapini,"J. A. Allen",1917,1,"Bull. Am. Mus. Nat. Hist.","37: 461","Pale Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",condylurus,"A. Smith",1833,1,"S. Afr. Quart. J.","1: 54","Angolan Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",midas,Sundevall,1843,1,"Kongl. Svenska Vet.-Akad. Handl. Stockholm","1842: 207","Midas' Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",nigeriae,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 319","Nigerian Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",niveiventer,"Cabrera & Ruxton",1926,0,"Ann. Mag. Nat. Hist.","ser. 9, 17: 594","White-bellied Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",pumilus,Cretzschmar,1826,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","1: 69","Little Free-tailed Bat"
Molossidae,Nyctinomus,,aegyptiacus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 128","Egyptian Free-tailed Bat"
Molossidae,Otomops,,martiensseni,Matschie,1897,1,"Arch. Naturgesch.","63(1): 84","Large-eared Giant Mastiff Bat"
Molossidae,Tadarida,,fulminans,Thomas,1903,1,"Ann. Mag. Nat. Hist.","ser. 7, 12: 501","Malagasy Free-tailed Bat"
Molossidae,Tadarida,,ventralis,"von Heuglin",1861,1,"Nova. Acta. Acad. Caes. Leop.-Carol.","29(8): 4, 11","Giant Free-tailed Bat"
Nycteridae,Nycteris,Nycteris,aurita,"K. Andersen",1912,1,"Ann. Mag. Nat. Hist.","ser. 8, 10: 547","Andersen's Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,grandis,Peters,1865,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1865: 358","Large Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,hispida,Schreber,1775,1,"Die Säugethiere","1: 169, 188","Hairy Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,macrotis,Dobson,1876,0,"Monogr. Asiat. Chiroptera","p. 80 [footnote]","Large-eared Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",major,"K. Andersen",1912,1,"Ann. Mag. Nat. Hist.","ser. 8, 10: 547","Dja Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",thebaica,"É. Geoffroy Saint-Hilaire",1813,0,"Ann. Mus. Natn. Hist. Nat. Paris","p. 20","Egyptian Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,woodi,"K. Andersen",1914,0,"Ann. Mag. Nat. Hist.","ser. 8, 13: 563","Wood's Slit-faced Bat"
Pteropodidae,Eidolon,,helvum,Kerr,1792,1,"In Linnaeus, Anim. Kingdom","1(1): xvii, 91","African Straw-colored Fruit Bat"
Pteropodidae,Epomophorus,,crypturus,Peters,1852,0,"Naturwiss. Reise nach Mossambique, S&auml;ug.","p. 26","Peters&apos;s Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,dobsonii,Bocage,1889,0,"J. Sci. Math. Phys. Nat. Lisboa","ser. 2, 1: 1","Dobson&apos;s Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,gambianus,Ogilby,1835,1,"Proc. Zool. Soc. Lond.","1835: 100","Gambian Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,minor,Dobson,1880,0,"Proc. Zool. Soc. Lond.","1879: 715","Minor Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,wahlbergi,Sundevall,1846,1,"Ofv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Wahlberg&apos;s Epauletted Fruit Bat"
Pteropodidae,Epomops,,franqueti,Tomes,1860,1,"Proc. Zool. Soc. Lond.","1860: 54","Franquet&apos;s Epauletted Fruit Bat"
Pteropodidae,Myonycteris,Myonycteris,angolensis,Bocage,1898,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 2, 5: 133","Angolan Soft-furred Fruit Bat"
Pteropodidae,Plerotes,,anchietae,Seabra,1900,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 2, 6: 116","Anchieta's Broad-faced Fruit Bat"
Pteropodidae,Rousettus,Rousettus,aegyptiacus,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 96","Egyptian Rousette"
Rhinolophidae,Rhinolophus,,blasii,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1866: 17","Blasius' Horseshoe Bat"
Rhinolophidae,Rhinolophus,,clivosus,Cretzschmar,1828,0,"In R&uuml;ppell, Atlas Reise Nordl. Afr., Zool. S&auml;ugeth.","p. 47","Geoffroy's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,darlingi,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 15: 70","Darling's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,fumigatus,R&uuml;ppell,1842,0,"Mus. Senckenbergianum","3: 132","R&uuml;ppell's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,hildebrandtii,Peters,1878,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1878: 195","Hildebrandt's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,landeri,Martin,1838,0,"Proc. Zool. Soc. Lond.","1837: 101","Lander's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,lobatus,Peters,1852,0,"Reise nach Mossambique","3: p. 41, pl. 9, pl. 13","Lobed Horseshoe Bat"
Rhinolophidae,Rhinolophus,,sakejiensis,Cotterill,2002,0,"J. Zool.","256: 166","Sakeji Horseshoe Bat"
Rhinolophidae,Rhinolophus,,simulator,"K. Andersen",1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 14: 384","Bushveld Horseshoe Bat"
Rhinolophidae,Rhinolophus,,swinnyi,Gough,1908,0,"Ann. Transvaal Mus.","1: 72","Swinny's Horseshoe Bat"
Rhinonycteridae,Cloeotis,,percivali,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 8: 28","Percival's Short-eared Trident Bat"
Rhinonycteridae,Triaenops,,afer,Peters,1877,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1876: 913","African Trident Bat"
Vespertilionidae,Afronycteris,,nanus,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethier","p. 63","Banana Serotine"
Vespertilionidae,Cnephaeus,,hottentotus,"A. Smith",1833,1,"S. Afr. J.","2: 59","Long-tailed Serotine"
Vespertilionidae,Glauconycteris,,argentata,Dobson,1875,1,"Proc. Zool. Soc. Lond.","1875: 385","Common Butterfly Bat"
Vespertilionidae,Glauconycteris,,variegata,Tomes,1861,1,"Proc. Zool. Soc. Lond.","1861: 36","Variegated Butterfly Bat"
Vespertilionidae,Kerivoula,,argentata,Tomes,1861,0,"Proc. Zool. Soc. Lond.","1861: 32","Damara Woolly Bat"
Vespertilionidae,Kerivoula,,lanosa,"A. Smith",1847,1,"Illustr. Zool. S. Afr. Mamm.","pl. 50","Lesser Woolly Bat"
Vespertilionidae,Laephotis,,angolensis,Monard,1935,0,"Arquiv. Mus. Bocage","6: 45","Angolan Long-eared Bat"
Vespertilionidae,Laephotis,,capensis,"A. Smith",1829,1,"Zool. J.","4: 435","Cape Serotine"
Vespertilionidae,Laephotis,,stanleyi,"Goodman, Kearney, Ratsimbazafy & Hassanin",2017,1,Zootaxa,"4236(2): 361","Stanley's Serotine"
Vespertilionidae,Laephotis,,wintoni,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 7: 460","de Winton's Long-eared Bat"
Vespertilionidae,Mimetillus,,moloneyi,Thomas,1891,1,"Ann. Mag. Nat. Hist.","ser. 6, 7: 528","Moloney's Mimic Bat"
Vespertilionidae,Myotis,Chrysopteron,bocagii,Peters,1870,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 1, 3: 125","Rufous Myotis"
Vespertilionidae,Myotis,Chrysopteron,tricolor,Temminck,1832,1,"In Smuts, Enumer. Mamm. Capensium","p. 106","Temminck's Myotis"
Vespertilionidae,Myotis,Chrysopteron,welwitschii,Gray,1866,1,"Proc. Zool. Soc. Lond.","1866: 211","Welwitsch's Myotis"
Vespertilionidae,Neoromicia,,anchietae,Seabra,1900,1,"J. Sci. Math. Phys. Nat. Lisboa, ser. 2","6: 26","Anchieta's Serotine"
Vespertilionidae,Neoromicia,,zuluensis,Roberts,1924,1,"Ann. Transv. Mus.","10(2): 60, fig. 1","Zulu Serotine"
Vespertilionidae,Nycticeinops,,schlieffenii,Peters,1859,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1859: 224","Schlieffen's Twilight Bat"
Vespertilionidae,Pipistrellus,Pipistrellus,hesperidus,Temminck,1840,1,"Monograph. Mammal... Mus&eacute;es de l'Europe","2: 211","Dusky Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,rusticus,Tomes,1861,1,"Proc. Zool. Soc. Lond.","1861: 35","Rusty Pipistrelle"
Vespertilionidae,Pseudoromicia,,rendalli,Thomas,1889,1,"Ann. Mag. Nat. Hist.","ser. 6, 3: 362","Rendall's Serotine"
Vespertilionidae,Scotoecus,,albigula,Thomas,1909,0,"Ann. Mag. Nat. Hist.","ser. 8, 4: 544","White-throated Lesser House Bat"
Vespertilionidae,Scotoecus,,hindei,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 7: 264","Hinde's Lesser House Bat"
Vespertilionidae,Scotoecus,,hirundo,"de Winton",1899,1,"Ann. Mag. Nat. Hist.","ser. 7, 4: 355","Dark-winged Lesser House Bat"
Vespertilionidae,Scotophilus,,dinganii,"A. Smith",1833,1,"S. Afr. Quart. J.","2: 59","Yellow-bellied House Bat"
Vespertilionidae,Scotophilus,,nigrita,Schreber,1774,1,"Die S&auml;ugethiere","1: 171","Giant House Bat"
Vespertilionidae,Scotophilus,,viridis,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethiere","p. 67","Green House Bat"
Vespertilionidae,Vansonia,,rueppellii,"J. Fischer",1829,1,"Synopsis Mamm.","p. 109","R&uuml;ppell's Pipistrelle"
